question,final_answer,section,source
"Saul drove his truck 3 hours from Dallas towards Kansas City and stopped at a truck stop to get dinner. At the truck stop he met Erwin, who had driven 4 hours from Kansas City towards Dallas. The distance between Dallas and Kansas City is 542 miles, and Erwin’s speed was eight miles per hour slower than Saul’s speed. Find the speed of Saul, in mph.",82,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Sisters Helen and Anne live 332 miles apart. For Thanksgiving, they met at their other sister’s house partway between their homes. Helen drove 3.2 hours and Anne drove 2.8 hours. Helen’s average speed was four miles per hour faster than Anne’s. Find Helen’s average speed, in miles per hour.",57.2,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Elvira and Aletheia live 3.1 miles apart on the same street. They are in a study group that meets at a coffee shop between their houses. It took Elvira half an hour and Aletheia two-thirds of an hour to walk to the coffee shop. Aletheia’s speed is 0.6 miles per hour slower than Elvira’s speed. Find Elvira’s walking speed, in miles per hour.",3,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Cindy and Richard leave their dorm in Charleston at the same time. Cindy rides her bicycle north at a speed of 18 miles per hour. Richard rides his bicycle south at a speed of 14 miles per hour. How many hours will it take them to be 96 miles apart?,3,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Two busses leave Billings at the same time. The Seattle bus heads west on I-90 at a speed of 73 miles per hour while the Chicago bus heads east at a speed of 79 miles an hour. How many hours will it take them to be 532 miles apart?,3.5,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Lorena walks the path around the park in 30 minutes. If she jogs, it takes her 20 minutes. Her jogging speed is 1.5 miles per hour faster than her walking speed. Find Lorena’s walking speed, in miles per hour.",3,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Cassius drives his boat upstream for 45 minutes. It takes him 30 minutes to return downstream. His speed going upstream is three miles per hour slower than his speed going downstream. Find his upstream speed, in miles per hour.",6,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Three-fourths of the people at a concert are children. If there are 87 children, what is the total number of people at the concert?",116,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The sum of a number and three is forty-one. Find the number.,38,Use a Problem-Solving Strategy,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
What number is 67% of 250?,167.5,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
12.5% of what number is 20?,160,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
What percent of 125 is 150?,120,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The bill for Dino’s lunch was $19.45. He wanted to leave 20% of the total bill as a tip. How much should the tip be?,3.89,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Dolores bought a crib on sale for $350. The sale price was 40% of the original price. What was the original price of the crib?,875,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Angel’s got a raise in his annual salary from $55,400 to $56,785. Find the percent increase.",2.5,Solve Percent Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Paulette has $140 in $5 and $10 bills. The number of $10 bills is one less than twice the number of $5 bills. How many $5 bills does she have?,6,Solve Mixture Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
A church luncheon made $842. Adult tickets cost $10 each and children’s tickets cost $6 each. The number of children was 12 more than twice the number of adults. How many adult tickets were sold?,35,Solve Mixture Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"125 tickets were sold for the jazz band concert for a total of $1,022. Student tickets cost $6 each and general admission tickets cost $10 each. How many student tickets were sold?",57,Solve Mixture Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Ana spent $4.06 buying stamps. The number of $0.41 stamps she bought was five more than the number of $0.26 stamps. How many $0.41 stamps did she buy?,8,Solve Mixture Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Marquese is making 10 pounds of trail mix from raisins and nuts. Raisins cost $3.45 per pound and nuts cost $7.95 per pound. How many pounds of raisins should Marquese use for the trail mix to cost him $6.96 per pound?,2.2,Solve Mixture Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"When Gabe drives from Sacramento to Redding it takes him 2.2 hours. It takes Elsa 2 hours to drive the same distance. Elsa’s speed is seven miles per hour faster than Gabe’s speed. Find Gabe’s speed, in miles per hour.",70,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Two busses leave Amarillo at the same time. The Albuquerque bus heads west on the I-40 at a speed of 72 miles per hour, and the Oklahoma City bus heads east on the I-40 at a speed of 78 miles per hour. How many hours will it take them to be 375 miles apart?",2.5,Solve Uniform Motion Applications,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Sondra is making 10 quarts of punch from fruit juice and club soda. The number of quarts of fruit juice is 4 times the number of quarts of club soda. How many quarts of fruit juice does Sondra need?,8,Solve Systems of Equations by Graphing,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Molly is making strawberry infused water. For each ounce of strawberry juice, she uses three times as many ounces of water. How many ounces of strawberry juice does she need to make 64 ounces of strawberry infused water?",16,Solve Systems of Equations by Graphing,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Enrique is making a party mix that contains raisins and nuts. For each ounce of nuts, he uses twice the amount of raisins. How many ounces of nuts does he need to make 24 ounces of party mix?",8,Solve Systems of Equations by Graphing,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Leo is planning his spring flower garden. He wants to plant tulip and daffodil bulbs. He will plant 6 times as many daffodil bulbs as tulip bulbs. If he wants to plant 350 bulbs, how many tulip bulbs should he plant?",50,Solve Systems of Equations by Graphing,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The perimeter of a rectangle is 88. The length is five more than twice the width. Find the length.,31,Solving Systems of Equations by Substitution,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Heather has been offered two options for her salary as a trainer at the gym. Option A would pay her $25,000 plus $15 for each training session. Option B would pay her $10,000 + $40 for each training session. How many training sessions would make the salary options equal?",600,Solving Systems of Equations by Substitution,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The perimeter of a rectangle is 84. The length is 10 more than three times the width. Find the length.,34,Solving Systems of Equations by Substitution,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Jackie has been offered positions by two cable companies. The first company pays a salary of $ 14,000 plus a commission of $100 for each cable package sold. The second pays a salary of $20,000 plus a commission of $25 for each cable package sold. How many cable packages would need to be sold to make the total pay the same?",80,Solving Systems of Equations by Substitution,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Mitchell currently sells stoves for company A at a salary of $12,000 plus a $150 commission for each stove he sells. Company B offers him a position with a salary of $24,000 plus a $50 commission for each stove he sells. How many stoves would Mitchell need to sell for the options to be equal?",120,Solving Systems of Equations by Substitution,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Joe stops at a burger restaurant every day on his way to work. Monday he had one order of medium fries and two small sodas, which had a total of 620 calories. Tuesday he had two orders of medium fries and one small soda, for a total of 820 calories. How many calories are there in one order of medium fries?",340,Solve Systems of Equations by Elimination,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Andrea is buying some new shirts and sweaters. She is able to buy 3 shirts and 2 sweaters for $114 or she is able to buy 2 shirts and 4 sweaters for $164. How much does a shirt cost?,16,Solve Systems of Equations by Elimination,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The total amount of sodium in 2 hot dogs and 3 cups of cottage cheese is 4720 mg. The total amount of sodium in 5 hot dogs and 2 cups of cottage cheese is 6300 mg. How much sodium is in a hot dog, in mg?",860,Solve Systems of Equations by Elimination,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Devon is 26 years older than his son Cooper. The sum of their ages is 50. Find Devon's age.,38,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"When Jenna spent 10 minutes on the elliptical trainer and then did circuit training for 20 minutes, her fitness app says she burned 278 calories. When she spent 20 minutes on the elliptical trainer and 30 minutes circuit training she burned 473 calories. How many calories does she burn for each minute on the elliptical trainer?",11.2,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Joni left St. Louis on the interstate, driving west towards Denver at a speed of 65 miles per hour. Half an hour later, Kelly left St. Louis on the same route as Joni, driving 78 miles per hour. How many hours will it take Kelly to catch up to Joni?",2.5,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A river cruise ship sailed 60 miles downstream for 4 hours and then took 5 hours sailing upstream to return to the dock. Find the speed of the ship in still water, in miles per hour.",13.5,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A private jet can fly 1095 miles in three hours with a tailwind but only 987 miles in three hours into a headwind. Find the speed of the jet in still air, in miles per hour.",347,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A married couple together earn $75,000. The husband earns $15,000 more than five times what his wife earns. What does the wife earn?",10000,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Daniela invested a total of $50,000, some in a certificate of deposit (CD) and the remainder in bonds. The amount invested in bonds was $5000 more than twice the amount she put into the CD. How much did she invest in the CD?",15000,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"In her last two years in college, Marlene received $42,000 in loans. The first year she received a loan that was $6,000 less than three times the amount of the second year’s loan. What was the amount of her loan for the first year?",30000,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Alyssa is twelve years older than her sister, Bethany. The sum of their ages is forty-four. Find Alyssa's age.",28,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
The age of Noelle’s dad is six less than three times Noelle’s age. The sum of their ages is seventy-four. Find Noelle’s dad's age.,54,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Two containers of gasoline hold a total of fifty gallons. The big container can hold ten gallons less than twice the small container. How many gallons does the big container hold?,30,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Shelly spent 10 minutes jogging and 20 minutes cycling and burned 300 calories. The next day, Shelly swapped times, doing 20 minutes of jogging and 10 minutes of cycling and burned the same number of calories. How many calories were burned for each minute of jogging?",10,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Troy and Lisa were shopping for school supplies. Each purchased different quantities of the same notebook and thumb drive. Troy bought four notebooks and five thumb drives for $116. Lisa bought two notebooks and three thumb dives for $68. Find the cost of each notebook.,4,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Sarah left Minneapolis heading east on the interstate at a speed of 60 mph. Her sister followed her on the same route, leaving two hours later and driving at a rate of 70 mph. How many hours will it take for Sarah’s sister to catch up to Sarah?",12,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"At the end of spring break, Lucy left the beach and drove back towards home, driving at a rate of 40 mph. Lucy’s friend left the beach for home 30 minutes (half an hour) later, and drove 50 mph. How many hours did it take Lucy’s friend to catch up to Lucy?",2,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The Jones family took a 12 mile canoe ride down the Indian River in two hours. After lunch, the return trip back up the river took three hours. Find the rate of the canoe in still water, in miles per hour.",5,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A motor boat traveled 18 miles down a river in two hours but going back upstream, it took 4.5 hours due to the current. Find the rate of the motor boat in still water, in miles per hour.",6.6,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A small jet can fly 1,072 miles in 4 hours with a tailwind but only 848 miles in 4 hours into a headwind. Find the speed of the jet in still air, in miles per hour.",240,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A commercial jet can fly 868 miles in 2 hours with a tailwind but only 792 miles in 2 hours into a headwind. Find the speed of the jet in still air, in miles per hour.",415,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"The box office at a movie theater sold 147 tickets for the evening show, and receipts totaled $1,302. A child ticket costs $8, and an adult ticket costs $11. How many $11 adult tickets were sold?",42,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Carson wants to make 20 pounds of trail mix using nuts and chocolate chips. His budget requires that the trail mix costs him $7.60 per pound. Nuts cost $9.00 per pound and chocolate chips cost $2.00 per pound. How many pounds of nuts should he use?,16,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Tickets to a Broadway show cost $35 for adults and $15 for children. The total receipts for 1650 tickets at one performance were $47,150. How many adult tickets were sold?",1120,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Tickets for a train cost $10 for children and $22 for adults. Josie paid $1,200 for a total of 72 tickets. How many children’s tickets did Josie buy?",32,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Tickets for a dance recital cost $15 for adults and $7 for children. The dance company sold 253 tickets and the total receipts were $2,771. How many adult tickets were sold?",125,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"A cashier has 30 bills, all of which are $10 or $20 bills. The total value of the money is $460. How many of the  $10 bill does the cashier have?",14,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Hannah has to make twenty-five gallons of punch for a potluck. The punch is made of soda and fruit drink. The cost of the soda is $1.79 per gallon and the cost of the fruit drink is $2.49 per gallon. Hannah’s budget requires that the punch cost $2.21 per gallon. How many gallons of soda does she need?,10,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Julia and her husband own a coffee shop. They experimented with mixing a City Roast Columbian coffee that cost $7.80 per pound with French Roast Columbian coffee that cost $8.10 per pound to make a 20 pound blend. Their blend should cost them $7.92 per pound. How much of City Roast Columbian coffee should they buy?,12,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Jotham needs 70 liters of a 50% alcohol solution. He has a 30% and an 80% solution available. How many liters of the 30% solution should he mix to make the 50% solution?,42,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
A scientist needs 65 liters of a 15% alcohol solution. She has available a 25% and a 12% solution. How many liters of the 25% solution should she mix to make the 15% solution?,15,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
A 40% antifreeze solution is to be mixed with a 70% antifreeze solution to get 240 liters of a 50% solution. How many liters of the 40% solution will be used?,160,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Laurie was completing the treasurer’s report for her son’s Boy Scout troop at the end of the school year. She didn’t remember how many boys had paid the $15 full-year registration fee and how many had paid the $10 partial-year fee. She knew that the number of boys who paid for a full-year was ten more than the number who paid for a partial-year. If $250 was collected for all the registrations, how many boys had paid the full-year fee?",14,Solve Mixture Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"LaVelle is making a pitcher of caffe mocha. For each ounce of chocolate syrup, she uses five ounces of coffee. How many ounces of chocolate syrup does she need to make 48 ounces of caffe mocha?",8,Solve Systems of Equations by Graphing,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Last month Jim and Debbie earned $7,200. Debbie earned $1,600 more than Jim earned. How much did Debbie earn?",4400,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Pam is 3 years older than her sister, Jan. The sum of their ages is 99. Find Pam's age.",51,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Sheila and Lenore were driving to their grandmother’s house. Lenore left one hour after Sheila. Sheila drove at a rate of 45 mph, and Lenore drove at a rate of 60 mph. How many hours will it take for Lenore to catch up to Sheila?",3,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Marcus can drive his boat 36 miles down the river in three hours but takes four hours to return upstream. Find the rate of the boat in still water, in miles per hour.",10.5,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
"Lynn paid a total of $2,780 for 261 tickets to the theater. Student tickets cost $10 and adult tickets cost $15. How many student tickets did Lynn buy?",227,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
Yumi wants to make 12 cups of party mix using candies and nuts. Her budget requires the party mix to cost her $1.29 per cup. The candies are $2.49 per cup and the nuts are $0.69 per cup. How many cups of candies should she use?,4,Solve Applications with Systems of Equations,Access for free at openstax.org. https://openstax.org/details/books/elementary-algebra-2e
